date,product,customer,market,sold_quantity
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,51
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,21
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,77
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,22
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,54
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,17
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,42
2017-09-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,66
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,67
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,48
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,17
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,79
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,25
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,93
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,17
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,41
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,51
2017-09-01,"AQ Mforce Gen X","Atliq Exclusive",India,86
2017-09-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,54
2017-09-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,11
2017-09-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,26
2017-09-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,49
2017-09-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,15
2017-09-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,24
2017-09-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,47
2017-09-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,51
2017-09-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,8
2017-09-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,37
2017-09-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,37
2017-09-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,25
2017-09-01,"AQ 5000 Series Ultron 8 5900X Desktop Processor","Atliq Exclusive",India,56
