date,fiscal_year,product_code,customer_code,sold_quantity
2020-09-01,2021,A0118150101,70002017,248
2020-09-01,2021,A0118150101,70002018,240
2020-09-01,2021,A0118150101,70003181,31
2020-09-01,2021,A0118150101,70003182,37
2020-09-01,2021,A0118150101,70004069,7
2020-09-01,2021,A0118150101,70004070,12
2020-09-01,2021,A0118150101,70005163,17
2020-09-01,2021,A0118150101,70006157,60
2020-09-01,2021,A0118150101,70006158,34
2020-09-01,2021,A0118150101,70007198,24
2020-09-01,2021,A0118150101,70007199,88
2020-09-01,2021,A0118150101,70008169,49
2020-09-01,2021,A0118150101,70008170,60
2020-09-01,2021,A0118150101,70009133,7
2020-09-01,2021,A0118150101,70009134,21
2020-09-01,2021,A0118150101,70010047,37
2020-09-01,2021,A0118150101,70011193,70
2020-09-01,2021,A0118150101,70011194,18
2020-09-01,2021,A0118150101,70012042,28
2020-09-01,2021,A0118150101,70012043,29
2020-09-01,2021,A0118150101,70013125,21
2020-09-01,2021,A0118150101,70013126,14
2020-09-01,2021,A0118150101,70014142,6
2020-09-01,2021,A0118150101,70014143,21
2020-09-01,2021,A0118150101,70015151,26
2020-09-01,2021,A0118150101,70016177,17
2020-09-01,2021,A0118150101,70016178,6
2020-09-01,2021,A0118150101,70018115,28
2020-09-01,2021,A0118150101,70022085,112
2020-09-01,2021,A0118150101,70023031,52
2020-09-01,2021,A0118150101,70026206,2
2020-09-01,2021,A0118150101,80001019,252
2020-09-01,2021,A0118150101,80006154,190
2020-09-01,2021,A0118150101,80006155,198
2020-09-01,2021,A0118150101,80007195,421
2020-09-01,2021,A0118150101,90001021,58
2020-09-01,2021,A0118150101,90002001,136
2020-09-01,2021,A0118150101,90002002,202
2020-09-01,2021,A0118150101,90002003,74
2020-09-01,2021,A0118150101,90002005,158
2020-09-01,2021,A0118150101,90002006,120
2020-09-01,2021,A0118150101,90002007,129
2020-09-01,2021,A0118150101,90002009,58
2020-09-01,2021,A0118150101,90002010,77
2020-09-01,2021,A0118150101,90002011,144
2020-09-01,2021,A0118150101,90002013,200
2020-09-01,2021,A0118150101,90002014,94
2020-09-01,2021,A0118150101,90002015,175
2020-09-01,2021,A0118150101,90003179,80
2020-09-01,2021,A0118150101,90004061,9
2020-09-01,2021,A0118150101,90004062,15
2020-09-01,2021,A0118150101,90004063,4
2020-09-01,2021,A0118150101,90004065,17
2020-09-01,2021,A0118150101,90004066,12
2020-09-01,2021,A0118150101,90004067,24
2020-09-01,2021,A0118150101,90005159,29
2020-09-01,2021,A0118150101,90005161,9
2020-09-01,2021,A0118150101,90005162,18
2020-09-01,2021,A0118150101,90006153,17
2020-09-01,2021,A0118150101,90007197,95
2020-09-01,2021,A0118150101,90008165,31
2020-09-01,2021,A0118150101,90008166,32
2020-09-01,2021,A0118150101,90008167,69
2020-09-01,2021,A0118150101,90009127,5
2020-09-01,2021,A0118150101,90009129,28
2020-09-01,2021,A0118150101,90009130,12
2020-09-01,2021,A0118150101,90009131,11
2020-09-01,2021,A0118150101,90010045,19
2020-09-01,2021,A0118150101,90010046,19
2020-09-01,2021,A0118150101,90011185,11
2020-09-01,2021,A0118150101,90011186,47
2020-09-01,2021,A0118150101,90011187,67
2020-09-01,2021,A0118150101,90011189,24
2020-09-01,2021,A0118150101,90011190,55
2020-09-01,2021,A0118150101,90011191,23
2020-09-01,2021,A0118150101,90012033,30
2020-09-01,2021,A0118150101,90012034,21
2020-09-01,2021,A0118150101,90012035,16
2020-09-01,2021,A0118150101,90012037,31
2020-09-01,2021,A0118150101,90012038,18
2020-09-01,2021,A0118150101,90012039,23
2020-09-01,2021,A0118150101,90012041,28
