product_code,fiscal_year,gross_sales_mln
A0118150101,2018,0.29
A0118150102,2018,0.35
A0118150103,2018,0.36
A0118150104,2018,0.36
A0418150101,2018,0.35
A0418150102,2018,0.37
A0418150103,2018,0.42
A0418150104,2018,0.44
A0418150105,2018,0.40
A1018150101,2018,1.47
A1018150102,2018,1.60
A1018150103,2018,1.51
A1118150201,2018,1.79
A1118150202,2018,1.84
A1119150203,2018,1.68
A1219150301,2018,1.91
A1618150101,2018,0.02
A1618150102,2018,0.02
A1618150103,2018,0.02
A1618150104,2018,0.02
A1718150201,2018,0.03
A2118150101,2018,0.42
A2118150102,2018,0.50
A2118150103,2018,0.59
A2118150104,2018,0.62
A2118150105,2018,0.66
A2118150106,2018,0.76
A2218150201,2018,0.68
A2218150202,2018,0.79
A2219150203,2018,0.95
A2918150101,2018,0.64
A2918150102,2018,0.76
A2918150103,2018,0.78
A2918150104,2018,0.95
A2918150105,2018,0.93
A2918150106,2018,0.98
A3018150201,2018,1.07
A3018150202,2018,1.03
A3018150203,2018,1.31
A3019150204,2018,1.15
A3019150205,2018,1.08
A3019150206,2018,1.25
A3718150101,2018,0.00
A3718150102,2018,0.00
A3718150103,2018,0.00
A3718150104,2018,0.00
A3718150105,2018,0.00
A3818150201,2018,0.00
A3818150202,2018,0.00
A4118110101,2018,0.43
A4118110102,2018,0.47
A4118110103,2018,0.47
A4118110104,2018,0.57
A4118110105,2018,0.49
A4118110106,2018,0.51
A4118110107,2018,0.49
A4218110201,2018,0.53
A4218110202,2018,0.58
A4218110203,2018,0.57
A4218110204,2018,0.68
A4218110205,2018,0.72
A4918110101,2018,0.92
A4918110102,2018,0.95
A4918110103,2018,0.96
A4918110104,2018,1.02
A5018110201,2018,0.99
A5018110202,2018,1.03
A5018110203,2018,1.03
A5018110204,2018,0.97
A5318110101,2018,0.03
A5318110102,2018,0.04
A5318110103,2018,0.04
A5318110104,2018,0.04
A5318110105,2018,0.04
A5318110106,2018,0.04
A5318110107,2018,0.04
A5318110108,2018,0.05
A5419110201,2018,0.04
A5419110202,2018,0.05
A5419110203,2018,0.04
A5419110204,2018,0.04
A5419110205,2018,0.05
A6018110101,2018,0.00
A6018110102,2018,0.00
A6218160101,2018,1.87
A6218160102,2018,1.91
A7118160101,2018,6.47
A0118150101,2019,0.60
A0118150102,2019,0.78
A0118150103,2019,0.82
A0118150104,2019,0.78
A0219150201,2019,0.79
A0219150202,2019,0.86
A0418150101,2019,0.46
A0418150102,2019,0.53
A0418150103,2019,0.55
A0418150104,2019,0.57
A0418150105,2019,0.53
A0418150106,2019,0.56
A0418150107,2019,0.54
A0418150108,2019,0.62
A0519150201,2019,0.63
A0519150202,2019,0.70
A0519150203,2019,0.75
A0519150204,2019,0.82
A0519150205,2019,0.83
A0519150206,2019,0.78
A0519150207,2019,0.90
A0519150208,2019,0.89
A1018150101,2019,1.93
A1018150102,2019,2.12
A1018150103,2019,2.21
A1118150201,2019,2.18
A1118150202,2019,2.46
A1119150203,2019,2.46
A1219150301,2019,2.44
A1219150302,2019,2.50
A1219150303,2019,2.86
A1618150101,2019,0.05
A1618150102,2019,0.06
A1618150103,2019,0.07
A1618150104,2019,0.08
A1718150201,2019,0.07
A1718150202,2019,0.08
A1718150203,2019,0.09
A1718150204,2019,0.09
A1819150301,2019,0.08
A2118150101,2019,0.57
A2118150102,2019,0.64
A2118150103,2019,0.75
A2118150104,2019,0.79
A2118150105,2019,0.80
A2118150106,2019,0.89
A2218150201,2019,0.96
A2218150202,2019,1.05
A2219150203,2019,1.26
A2219150204,2019,1.38
A2219150205,2019,1.24
A2219150206,2019,1.46
A2319150301,2019,1.42
A2319150302,2019,1.41
A2319150303,2019,1.65
A2319150304,2019,1.85
A2319150305,2019,1.69
A2918150101,2019,0.79
A2918150102,2019,0.98
A2918150103,2019,1.03
A2918150104,2019,1.23
A2918150105,2019,1.19
A2918150106,2019,1.32
A3018150201,2019,1.57
