market,gross_sales_mln,pct_of_total
India,455.05,27.34
USA,264.46,15.89
"South Korea",131.86,7.92
Canada,89.78,5.39
Philiphines,80.64,4.84
"United Kingdom",78.11,4.69
France,67.62,4.06
Australia,59.15,3.55
China,55.29,3.32
Indonesia,48.12,2.89
Norway,44.95,2.70
Germany,41.25,2.48
Spain,38.96,2.34
Italy,38.10,2.29
Portugal,34.40,2.07
Newzealand,27.80,1.67
Netherlands,24.41,1.47
Bangladesh,19.05,1.14
Japan,17.34,1.04
Pakistan,15.07,0.91
Poland,14.29,0.86
Austria,8.25,0.50
Sweden,4.40,0.26
Mexico,2.30,0.14
Brazil,2.14,0.13
Chile,1.46,0.09
Columbia,0.37,0.02
