customer_code,gross_sales_mln,net_invoice_sales
80007196,103.55,74.33
80007195,99.78,70.55
90002008,84.16,59.65
80001019,73.71,59.76
90002009,57.59,46.68
90002004,54.03,42.67
90002016,53.77,37.52
90002012,53.37,39.29
80006155,53.32,37.65
90002015,51.24,40.19
90002007,50.31,37.23
90002011,49.70,40.03
90002003,49.26,35.14
80007196,48.69,34.96
80007195,48.25,35.62
80006154,47.27,36.36
90022081,46.93,36.00
90002006,46.92,33.59
90002014,46.33,34.06
90002010,46.00,33.52
70002018,45.96,32.49
90002005,44.93,33.82
90002002,44.64,36.48
90002013,44.31,35.35
90002001,43.87,35.25
70002017,43.51,38.91
90002008,40.07,31.23
90022074,39.82,30.70
80001019,37.26,28.00
90022072,36.15,27.68
70022084,35.26,32.27
90022076,35.13,28.60
90022080,34.66,23.96
90022079,33.37,27.25
90022075,32.98,25.86
90022083,32.83,23.29
90022071,32.69,26.34
90002009,30.68,21.22
90022082,30.07,23.39
90022078,29.43,20.40
70022085,29.12,23.83
90022073,29.05,22.90
90022077,28.99,22.08
80006155,27.51,19.01
80006154,26.31,20.78
90022081,25.95,18.42
90003180,25.52,19.30
90002004,25.50,18.48
90002016,25.30,17.88
90002012,25.00,20.11
90023023,24.65,18.33
90002007,24.64,18.46
90002011,24.53,17.68
90003179,24.48,17.80
70007199,24.45,19.42
90002015,24.27,19.41
90002003,24.17,16.85
90002014,23.81,18.91
90002006,23.70,16.50
90002005,23.61,17.23
90002010,23.53,18.21
90002013,23.41,18.14
70002018,23.34,18.53
70002017,23.24,21.61
90002002,23.22,16.20
90002001,23.02,18.14
70003182,22.14,17.39
90007197,21.83,15.31
70007198,21.52,19.42
70003181,21.22,19.68
90022074,21.13,16.04
90001020,19.80,14.40
90008168,18.23,13.58
90008164,18.09,14.80
80007196,17.65,12.92
90022076,17.58,12.51
90008167,17.30,13.14
90022072,17.30,14.09
90022080,17.29,12.00
70022084,17.18,15.72
90022071,16.99,13.16
90023028,16.97,12.15
90022079,16.86,13.36
90022075,16.79,12.80
90022083,16.75,13.52
90001021,16.36,12.52
70021096,16.31,13.12
90022073,16.31,13.12
90002008,16.30,13.04
90022078,16.29,12.77
80007195,16.18,12.31
70022085,16.14,13.11
90023024,16.13,12.18
70023032,16.12,12.29
90022082,16.11,12.68
70008169,16.05,14.71
90021092,16.05,11.86
90008166,15.84,11.66
90022077,15.79,11.01
90021088,15.68,11.97
70008170,15.63,12.25
90008165,15.43,11.22
90021087,15.43,10.76
90023027,15.43,10.81
90021091,15.28,12.24
70023031,15.24,14.22
90021095,14.85,11.33
90023030,14.26,11.52
90006156,14.23,11.27
90011192,14.15,10.96
90023022,13.91,10.95
90023026,13.91,11.33
90023025,13.87,11.36
90021094,13.61,9.88
90011188,13.60,10.71
90023029,13.59,9.55
90021093,13.53,9.87
90021090,13.51,10.07
90021089,13.46,10.05
90021086,13.40,9.45
90011187,13.03,10.67
90002009,13.00,9.33
90011191,12.91,10.12
90003180,12.57,9.63
90023023,12.51,9.19
90003179,12.22,9.22
90011190,11.97,8.62
70006158,11.95,9.45
70011194,11.94,8.82
70007199,11.93,9.42
90022081,11.91,9.39
70003182,11.87,9.42
70006157,11.87,11.21
90011186,11.78,8.38
90011185,11.73,9.41
90006153,11.70,9.48
90011189,11.62,8.98
70007198,11.54,10.69
70003181,11.47,10.35
90007197,11.45,9.15
70011193,11.37,10.79
90015148,11.33,9.10
90015144,11.19,8.72
70015152,10.81,8.03
90015147,10.44,8.28
70015151,10.33,9.74
90002016,9.94,8.08
90002010,9.90,7.84
70002018,9.86,7.64
80007196,9.65,7.80
80007195,9.60,7.15
90015149,9.59,7.03
90015150,9.51,7.33
90015146,9.47,7.38
80006154,9.41,7.20
90015145,9.39,6.84
90001020,9.38,7.54
90022074,9.31,7.40
80006155,9.05,6.46
90008164,8.88,6.66
90008168,8.86,6.64
90001021,8.65,5.97
90008167,8.62,6.60
90008166,8.29,5.75
70008170,8.18,6.69
70008169,8.16,7.51
80001019,8.15,6.40
90008165,8.15,6.41
90023024,8.13,6.27
70023032,8.09,5.84
90023028,7.99,5.91
90023027,7.87,5.86
90010044,7.79,5.50
90013116,7.79,5.63
70023031,7.75,7.12
90013120,7.65,5.83
90013124,7.65,5.84
90023030,7.65,5.98
90023026,7.55,5.35
70010048,7.54,5.49
90018106,7.54,5.80
90012040,7.52,5.39
90021088,7.44,6.00
90023029,7.44,5.58
90023022,7.41,5.52
90013119,7.40,6.01
90023025,7.39,5.49
70022085,7.36,5.11
70021096,7.34,5.24
90022082,7.34,5.52
90021092,7.29,5.59
70010047,7.27,6.54
90012036,7.23,5.26
90021095,7.20,5.15
90021091,7.18,5.38
90011188,7.16,5.01
90009128,7.14,4.95
90021087,7.14,5.39
90013123,7.11,5.51
90011192,7.09,5.36
90022083,7.09,5.15
90012039,7.06,5.25
90006156,7.03,5.49
70012043,7.00,5.48
90012035,7.00,5.03
90009132,6.98,4.84
90011191,6.97,5.63
90021086,6.97,5.70
90021090,6.93,5.39
90021089,6.92,4.88
90021094,6.88,5.27
90011187,6.84,4.86
90018112,6.84,4.85
90018108,6.81,5.14
90021093,6.81,4.87
90009127,6.75,5.14
90005160,6.74,4.83
90009131,6.74,5.18
70013126,6.73,5.03
70006158,6.71,5.07
90002012,6.71,4.98
90011186,6.71,5.10
90013118,6.69,5.45
70011194,6.60,5.37
90011190,6.58,5.38
70006157,6.56,6.00
70011193,6.56,5.87
90011185,6.56,4.85
90011189,6.56,4.64
90013121,6.56,5.31
90002004,6.54,4.66
90002014,6.54,4.80
90006153,6.52,5.30
90002002,6.50,5.29
90005159,6.46,4.49
70013125,6.44,5.96
90012038,6.41,5.02
90013122,6.41,5.01
90017056,6.41,4.50
90007197,6.40,5.00
90013117,6.39,5.10
70007199,6.38,5.03
90002006,6.38,4.85
90012034,6.38,4.67
90010045,6.32,5.07
90010046,6.32,5.18
70012042,6.28,5.80
70018115,6.26,4.45
90009130,6.26,4.34
70005163,6.25,4.41
90002008,6.22,5.06
90018107,6.22,4.43
90012033,6.21,4.46
90018111,6.19,4.35
90002015,6.18,4.80
70017060,6.16,4.34
70009134,6.15,4.26
90017052,6.14,5.01
90009129,6.12,4.80
90002011,6.09,4.47
90012041,6.08,4.35
90002007,6.04,4.46
90002013,6.02,4.28
70002017,6.01,5.57
90005162,5.98,4.58
90018114,5.98,4.26
90017051,5.97,4.59
90002003,5.94,4.39
90012037,5.94,4.49
90002005,5.90,4.51
90017055,5.90,4.55
90018113,5.90,4.27
70009133,5.86,5.22
90002001,5.86,4.75
90018110,5.81,4.11
90017059,5.73,4.38
90018105,5.70,4.17
90018109,5.65,3.93
90004067,5.56,4.02
90005161,5.54,4.08
90014136,5.50,4.04
90014140,5.46,4.43
90017050,5.39,4.02
90017054,5.34,3.78
90015148,5.31,3.68
90017053,5.29,4.08
90015144,5.24,3.88
90017058,5.23,4.21
90023023,5.20,4.01
70015152,5.19,3.90
90017057,5.14,4.07
90015147,5.10,4.10
90017049,5.10,4.11
90014139,5.09,3.88
70015151,5.07,4.73
90014135,5.06,3.67
90022072,5.03,3.71
90022080,4.99,3.97
70022084,4.97,4.61
70014143,4.88,3.73
90015150,4.85,3.73
90015146,4.84,3.97
90022076,4.83,3.44
90003180,4.74,3.58
90015149,4.74,3.47
90002009,4.73,3.35
90022078,4.73,3.61
90008168,4.71,3.29
90022071,4.67,3.42
70008170,4.65,3.62
90015145,4.62,3.39
70014142,4.61,4.22
90014138,4.61,3.45
80006155,4.54,3.38
90022075,4.54,3.50
90014137,4.52,3.46
90022077,4.52,3.41
90022073,4.51,3.62
90022079,4.51,3.34
70003182,4.50,3.68
90014141,4.49,3.63
80006154,4.36,3.44
90018106,4.35,3.15
70007198,4.17,3.88
70010048,4.00,3.12
90012036,4.00,3.03
90012040,3.90,3.19
90012035,3.87,2.69
90002004,3.86,2.98
90010044,3.86,2.86
90012039,3.85,2.76
70010047,3.84,3.63
90004064,3.84,2.68
90002012,3.82,3.05
90016172,3.82,2.86
90002007,3.78,2.63
90002016,3.78,2.91
90016176,3.77,2.60
70012043,3.76,2.90
90004068,3.76,2.69
90006156,3.73,2.93
90002011,3.71,2.57
90016175,3.71,2.56
90002015,3.69,2.77
90010045,3.69,2.63
90012034,3.69,2.88
90002003,3.67,2.62
90002006,3.66,2.67
90012041,3.66,2.91
90002013,3.65,2.76
90010046,3.65,2.54
90012038,3.65,2.63
70012042,3.64,3.30
80007195,3.64,2.55
90012037,3.63,2.86
90013124,3.63,2.89
70002017,3.62,3.34
70006158,3.62,2.75
90009132,3.62,2.69
70002018,3.61,2.68
90013120,3.61,2.76
90018108,3.61,2.76
90012033,3.60,2.65
90013116,3.60,2.79
90016171,3.60,2.95
90009128,3.58,2.93
90002010,3.57,2.92
90002014,3.57,2.60
90018112,3.57,2.52
80007196,3.56,2.77
90002002,3.56,2.89
90018111,3.55,2.62
90002001,3.53,2.74
90009131,3.53,2.47
90004063,3.52,2.55
90009127,3.51,2.47
90002005,3.50,2.59
90018107,3.50,2.77
70018115,3.49,2.72
90013119,3.49,2.59
90013123,3.49,2.70
90009130,3.46,2.84
70013126,3.45,2.46
70009134,3.43,2.44
90018113,3.43,2.76
90022081,3.43,2.58
70023032,3.41,2.36
90013118,3.41,2.69
90018110,3.40,2.70
90018114,3.40,2.63
90013121,3.39,2.68
90016174,3.38,2.72
90013117,3.35,2.54
90013122,3.35,2.31
70013125,3.34,2.99
90009129,3.34,2.74
90023030,3.34,2.32
70009133,3.33,3.01
90018105,3.33,2.34
90018109,3.32,2.53
70016178,3.31,2.33
90016173,3.31,2.49
90004066,3.28,2.37
90001021,3.26,2.62
90004062,3.26,2.59
70016177,3.21,3.02
70004070,3.18,2.48
90004065,3.14,2.30
90005160,3.13,2.41
70004069,3.11,2.83
90004061,3.11,2.28
90008164,3.11,2.27
70005163,3.06,2.30
90005162,3.01,2.42
90005159,3.00,2.11
90017052,2.99,2.28
90017056,2.98,2.18
70017060,2.97,2.43
70021096,2.95,2.05
90008166,2.95,2.36
90017055,2.93,2.35
90008167,2.90,2.04
90017051,2.88,2.09
90005161,2.87,2.31
90017059,2.87,2.21
90014140,2.85,2.07
90017050,2.84,2.13
90017058,2.84,2.16
90003179,2.83,2.15
90005162,2.83,2.32
90014136,2.83,2.25
90017053,2.81,2.13
90021095,2.81,2.19
70005163,2.80,2.08
90011192,2.79,2.19
70003181,2.78,2.63
90017049,2.77,1.96
90008165,2.76,2.04
90014135,2.76,1.92
90017054,2.76,2.07
90017057,2.76,2.25
90014139,2.75,1.95
90022074,2.75,1.95
70011194,2.74,2.21
70008169,2.73,2.46
70014143,2.72,1.99
70014142,2.68,2.42
90004067,2.67,1.96
90014138,2.64,1.85
90014137,2.60,1.87
90014141,2.58,1.79
70007199,2.40,1.96
70007198,2.37,2.24
90002008,2.35,1.79
90022080,2.30,1.72
90022075,2.29,1.70
90007197,2.28,1.85
90023028,2.28,1.61
90022071,2.26,1.64
90022072,2.26,1.63
90022076,2.26,1.68
90022083,2.26,1.81
70022084,2.25,2.11
90023026,2.22,1.54
90023024,2.21,1.73
70027208,2.20,1.55
90022079,2.19,1.65
90023022,2.19,1.52
90006153,2.18,1.76
90001020,2.17,1.63
70006157,2.16,1.99
90022077,2.16,1.62
90022082,2.15,1.58
90023027,2.15,1.61
90022073,2.13,1.61
90022078,2.12,1.51
90027207,2.11,1.62
80001019,2.10,1.72
70022085,2.09,1.53
70023031,2.08,1.97
70019204,2.05,1.52
90019200,2.05,1.59
90023029,2.05,1.43
70020104,2.04,1.43
70026206,2.04,1.54
90020100,2.01,1.48
90026205,2.00,1.45
90023025,1.99,1.43
90021092,1.94,1.38
90005160,1.93,1.37
90021088,1.91,1.32
90016176,1.90,1.49
90020103,1.90,1.34
90021090,1.90,1.31
90021094,1.89,1.50
90016172,1.88,1.38
90021086,1.88,1.33
90013124,1.87,1.47
90019203,1.87,1.31
90020099,1.87,1.30
70013126,1.85,1.41
90002009,1.85,1.45
90011188,1.85,1.41
90016171,1.82,1.28
90005159,1.81,1.33
90011190,1.81,1.46
90016175,1.80,1.42
90021087,1.80,1.40
90011186,1.79,1.27
90012041,1.79,1.39
90020098,1.79,1.34
90021091,1.78,1.24
90019201,1.76,1.26
90019202,1.76,1.40
90020097,1.75,1.29
90021093,1.75,1.31
70016177,1.74,1.55
90004064,1.74,1.35
90005161,1.73,1.33
90016174,1.73,1.29
70016178,1.72,1.27
90004068,1.72,1.38
90011191,1.72,1.29
90020101,1.72,1.37
90020102,1.72,1.20
90021089,1.71,1.35
70012043,1.70,1.36
90011187,1.70,1.25
90016173,1.70,1.25
90024184,1.69,1.28
70011193,1.67,1.56
90011185,1.66,1.34
90004063,1.65,1.21
90011189,1.63,1.30
70004070,1.62,1.20
90004062,1.62,1.16
90024183,1.61,1.32
70004069,1.59,1.42
90004066,1.59,1.30
90004061,1.58,1.14
90004065,1.56,1.10
70010048,1.51,1.19
90023023,1.51,1.23
90002016,1.48,1.16
90003180,1.48,1.19
90003179,1.47,1.14
90002012,1.46,1.12
70003182,1.45,1.16
90002015,1.45,1.04
90010046,1.44,1.17
90002004,1.43,1.13
90002003,1.41,1.01
90002013,1.39,1.02
70017060,1.38,1.10
90016176,1.38,1.01
70016178,1.37,0.95
90002005,1.37,1.08
90002014,1.36,0.96
70003181,1.35,1.28
90002001,1.35,1.01
90014141,1.35,0.99
70002018,1.34,0.94
90002007,1.34,1.04
90002011,1.34,0.95
70002017,1.33,1.22
70014143,1.33,1.07
90002002,1.32,1.06
90002006,1.32,0.93
90002010,1.32,1.02
90017059,1.32,1.05
90008166,1.27,0.98
90008167,1.25,1.02
90008168,1.25,1.00
90008164,1.24,0.96
90013116,1.24,0.87
90013120,1.24,1.00
90009132,1.23,0.86
70008169,1.20,1.11
70008170,1.19,0.95
70012042,1.19,1.07
70009134,1.18,0.94
70027208,1.18,0.89
90012040,1.18,0.86
90013122,1.18,0.89
90012038,1.17,0.87
90013118,1.17,0.87
90013119,1.17,0.82
70026206,1.16,0.81
90008165,1.16,0.87
90012036,1.16,0.93
90006156,1.15,0.88
90012034,1.15,0.81
70013125,1.14,1.05
90013121,1.14,0.91
90026205,1.14,0.85
90027207,1.14,0.87
90012035,1.13,0.78
90013123,1.13,0.83
90015150,1.13,0.88
70015152,1.12,0.92
90012037,1.10,0.77
90012039,1.10,0.79
90013117,1.10,0.86
70006157,1.09,0.98
70027208,1.09,0.79
70006158,1.08,0.87
90012033,1.08,0.75
90020100,1.08,0.77
70020104,1.07,0.77
90022081,1.07,0.75
90006153,1.05,0.76
90020099,1.05,0.73
90020103,1.05,0.85
90027207,1.05,0.76
90011192,1.03,0.79
90020097,1.00,0.75
90020101,1.00,0.81
90020102,1.00,0.79
90023028,1.00,0.79
70023032,0.99,0.70
90011187,0.99,0.70
90011188,0.99,0.71
90020098,0.99,0.69
90004067,0.98,0.70
90011191,0.98,0.76
90023027,0.98,0.69
70023031,0.97,0.89
90011190,0.96,0.67
90023024,0.96,0.73
70011193,0.95,0.89
70011194,0.95,0.77
90010044,0.95,0.77
90011186,0.95,0.69
90017052,0.94,0.71
90023026,0.94,0.69
90011185,0.93,0.68
90011189,0.93,0.70
90014140,0.93,0.69
90016172,0.93,0.68
70026206,0.92,0.71
90023025,0.92,0.69
90026205,0.92,0.64
70019204,0.91,0.68
90014136,0.91,0.64
90019200,0.91,0.70
70007199,0.90,0.67
90017056,0.90,0.67
90023029,0.90,0.67
90023030,0.90,0.70
90017050,0.89,0.65
90017054,0.89,0.64
90017058,0.89,0.65
90019203,0.89,0.71
90022074,0.89,0.65
90023022,0.89,0.73
70010047,0.88,0.81
90010045,0.88,0.65
90014135,0.88,0.71
90014138,0.87,0.67
70014142,0.86,0.81
90016171,0.86,0.62
90016174,0.86,0.69
90016175,0.86,0.62
90017051,0.86,0.60
90017055,0.86,0.65
90014139,0.85,0.68
90019202,0.85,0.68
70007198,0.84,0.78
90017049,0.84,0.59
90017053,0.83,0.67
90019201,0.83,0.58
90025209,0.83,0.61
70016177,0.82,0.74
90014137,0.82,0.60
90017057,0.82,0.67
90007197,0.81,0.65
90016173,0.81,0.61
90009128,0.79,0.62
90018106,0.77,0.54
90009130,0.76,0.58
90009131,0.76,0.55
90024184,0.76,0.62
80006155,0.75,0.54
90015148,0.74,0.58
90009127,0.73,0.52
90009129,0.73,0.56
70009133,0.72,0.64
80006154,0.72,0.52
90015144,0.72,0.57
90015146,0.71,0.53
90022080,0.71,0.58
70022084,0.70,0.66
90022071,0.70,0.57
90024183,0.70,0.54
90015147,0.69,0.53
90022079,0.69,0.50
70015151,0.68,0.62
70022085,0.68,0.54
90012036,0.68,0.55
90015145,0.68,0.48
90022076,0.68,0.51
90022082,0.68,0.48
90022072,0.67,0.47
90022075,0.67,0.50
90013116,0.66,0.46
90022083,0.66,0.49
90012039,0.65,0.45
90012040,0.65,0.48
90013120,0.65,0.51
90013124,0.65,0.53
90015149,0.65,0.47
90022073,0.65,0.47
90022078,0.65,0.46
70012042,0.64,0.60
90012035,0.64,0.47
70012043,0.63,0.49
90012038,0.63,0.47
90013123,0.63,0.47
90022077,0.63,0.48
90012033,0.62,0.50
90012034,0.62,0.49
90012037,0.62,0.44
90012041,0.62,0.45
90013119,0.62,0.48
70013126,0.61,0.47
90013122,0.61,0.48
70004070,0.60,0.48
90004068,0.60,0.45
70013125,0.59,0.56
70018115,0.59,0.42
90013117,0.59,0.47
90013118,0.59,0.48
90018114,0.59,0.46
90013121,0.58,0.40
90001020,0.51,0.36
70021096,0.48,0.39
70027208,0.48,0.38
90021088,0.48,0.38
90021095,0.48,0.39
90001021,0.47,0.38
90021087,0.47,0.34
90021091,0.47,0.35
90021092,0.47,0.35
90021090,0.46,0.35
90027207,0.46,0.36
90021086,0.45,0.36
90021093,0.44,0.33
90008167,0.43,0.35
90021089,0.43,0.35
90021094,0.43,0.30
90003180,0.42,0.34
90004064,0.41,0.32
90008168,0.41,0.29
90018108,0.41,0.30
90018112,0.41,0.29
70003182,0.40,0.30
90004063,0.40,0.28
90004066,0.40,0.29
90008164,0.40,0.28
90018111,0.40,0.29
70003181,0.39,0.37
70008169,0.39,0.35
70008170,0.39,0.32
90004062,0.39,0.28
90008165,0.39,0.28
90018110,0.39,0.30
90003179,0.38,0.30
90008166,0.38,0.27
90018107,0.38,0.30
90018109,0.38,0.31
70004069,0.37,0.35
90004061,0.37,0.28
90004065,0.37,0.28
