market,fy_2020_mln,fy_2021_mln,grow_pct
Australia,23.81,59.15,148.42
Austria,0.31,8.25,2589.72
Bangladesh,5.66,19.05,236.78
Brazil,2.33,2.14,-8.11
Canada,29.11,89.78,208.40
Chile,0.19,1.46,664.20
China,13.59,55.29,307.00
Columbia,0.03,0.37,1062.99
France,19.36,67.62,249.22
Germany,13.74,41.25,200.16
India,139.70,455.05,225.73
Indonesia,14.85,48.12,224.12
Italy,14.24,38.10,167.66
Japan,4.91,17.34,253.19
Mexico,1.84,2.30,25.24
Netherlands,8.81,24.41,177.24
Newzealand,6.90,27.80,302.97
Norway,7.12,44.95,531.28
Pakistan,11.11,15.07,35.64
Philiphines,30.15,80.64,167.44
Poland,7.89,14.29,81.16
Portugal,11.41,34.40,201.59
"South Korea",50.78,131.86,159.69
Spain,5.05,38.96,671.08
Sweden,0.44,4.40,902.39
"United Kingdom",22.32,78.11,249.94
USA,90.32,264.46,192.82
