fiscal_year,fiscal_month_name,gross_sales,running_total
2018,September,4.19,4.19
2018,October,5.30,9.49
2018,November,7.42,16.91
2018,December,7.54,24.45
2018,January,4.19,28.64
2018,February,4.04,32.68
2018,March,4.46,37.14
2018,April,4.25,41.39
2018,May,4.24,45.63
2018,June,4.13,49.76
2018,July,4.24,54.00
2018,August,4.32,58.32
2019,September,15.14,15.14
2019,October,19.20,34.34
2019,November,25.78,60.12
2019,December,27.70,87.82
2019,January,15.21,103.03
2019,February,14.60,117.63
2019,March,15.32,132.95
2019,April,15.36,148.31
2019,May,15.18,163.49
2019,June,14.78,178.27
2019,July,15.52,193.79
2019,August,15.28,209.07
2020,September,45.15,45.15
2020,October,56.73,101.88
2020,November,78.67,180.55
2020,December,83.49,264.04
2020,January,45.42,309.46
2020,February,43.97,353.43
2020,March,5.58,359.01
2020,April,20.61,379.62
2020,May,26.24,405.86
2020,June,40.09,445.95
2020,July,44.10,490.05
2020,August,45.91,535.96
2021,September,121.24,121.24
2021,October,153.02,274.26
2021,November,207.22,481.48
2021,December,219.62,701.10
2021,January,120.95,822.05
2021,February,117.17,939.22
2021,March,122.18,1061.40
2021,April,122.38,1183.78
2021,May,120.34,1304.12
2021,June,116.56,1420.68
2021,July,122.49,1543.17
2021,August,121.47,1664.64
2022,September,561.81,561.81
2022,October,708.49,1270.30
2022,November,966.64,2236.94
2022,December,1021.73,3258.67
