month_name,fiscal_year,customer_code,product_code,forecast_quantity,sold_quantity,forecast_error
September,2018,70002017,A0118150101,18,51,-33
September,2018,70002018,A0118150101,11,77,-66
September,2018,70003181,A0118150101,9,17,-8
September,2018,70003182,A0118150101,6,6,0
September,2018,70006157,A0118150101,5,5,0
September,2018,70006158,A0118150101,6,7,-1
September,2018,70007198,A0118150101,4,29,-25
September,2018,70007199,A0118150101,7,34,-27
September,2018,70008169,A0118150101,7,22,-15
September,2018,70008170,A0118150101,8,5,3
September,2018,70011193,A0118150101,5,10,-5
September,2018,70011194,A0118150101,7,4,3
September,2018,70012042,A0118150101,0,0,0
September,2018,70012043,A0118150101,0,0,0
September,2018,70013125,A0118150101,2,1,1
September,2018,70013126,A0118150101,2,1,1
September,2018,70016178,A0118150101,0,1,-1
September,2018,70022085,A0118150101,12,20,-8
September,2018,70023031,A0118150101,1,4,-3
September,2018,80001019,A0118150101,7,10,-3
September,2018,80006154,A0118150101,21,10,11
September,2018,80006155,A0118150101,21,28,-7
September,2018,80007195,A0118150101,62,80,-18
September,2018,90001021,A0118150101,2,1,1
September,2018,90002001,A0118150101,52,42,10
September,2018,90002002,A0118150101,47,40,7
September,2018,90002003,A0118150101,56,54,2
September,2018,90002005,A0118150101,40,77,-37
September,2018,90002006,A0118150101,32,30,2
September,2018,90002007,A0118150101,44,67,-23
September,2018,90002009,A0118150101,48,47,1
September,2018,90002010,A0118150101,17,58,-41
September,2018,90002011,A0118150101,42,21,21
September,2018,90002013,A0118150101,34,17,17
September,2018,90002014,A0118150101,68,16,52
September,2018,90002015,A0118150101,43,32,11
September,2018,90003179,A0118150101,6,15,-9
September,2018,90006153,A0118150101,3,9,-6
September,2018,90007197,A0118150101,16,48,-32
September,2018,90008165,A0118150101,16,9,7
September,2018,90008166,A0118150101,11,12,-1
September,2018,90008167,A0118150101,17,10,7
September,2018,90011185,A0118150101,2,3,-1
September,2018,90011186,A0118150101,8,2,6
September,2018,90011187,A0118150101,7,2,5
September,2018,90011189,A0118150101,7,5,2
September,2018,90011190,A0118150101,3,10,-7
September,2018,90011191,A0118150101,8,14,-6
September,2018,90012033,A0118150101,0,0,0
September,2018,90012034,A0118150101,0,0,0
September,2018,90012035,A0118150101,0,0,0
September,2018,90012037,A0118150101,0,0,0
September,2018,90012038,A0118150101,0,0,0
September,2018,90012039,A0118150101,0,0,0
September,2018,90012041,A0118150101,0,0,0
September,2018,90013117,A0118150101,2,1,1
